,col
385,"Normal, Dry, Combination, Oily "
386,"Normal, Dry, Combination, Oily "
387,"Normal, Dry, Combination, Oily "
388,"Combination, Oily"
389,"Normal, Dry, Combination, Oily "
390,"Normal, Dry, Combination, Oily "
391,"Normal, Dry, Combination, Oily "
392,"Normal, Dry, Combination, Oily "
393,"Normal, Dry, Combination, Oily "
394,"Normal, Dry, Combination, Oily "
395,"Normal, Dry"
396,"Normal, Dry, Combination, Oily "
397,"Combination, Oily"
398,"Normal, Dry, Combination, Oily "
399,"Normal, Dry"
400,"Combination, Oily"
401,"Normal, Dry, Combination, Oily "
402,"Normal, Dry"
403,"Normal, Dry, Combination, Oily "
404,"Normal, Dry, Combination, Oily "
405,"Normal, Dry, Combination, Oily "
406,"Normal, Dry, Combination, Oily "
407,"Combination, Oily"
408,"Combination, Oily"
409,"Normal, Dry, Combination, Oily "
410,Dry
411,"Normal, Dry, Combination, Oily "
412,"Dry, Combination"
413,"Normal, Dry, Combination, Oily "
414,"Normal, Dry"
415,"Normal, Dry, Combination, Oily "
416,"Normal, Dry "
417,"Normal, Dry, Combination, Oily "
418,"Dry, Combination, Oily "
419,"Normal, Dry, Combination, Oily "
420,"Normal, Combination, Oily "
421,"Normal, Combination, Oily"
422,"Normal, Combination, Oily"
423,"Normal, Dry, Combination, Oily "
424,"Normal, Dry "
425,"Normal, Dry, Combination, Oily "
426,"Normal, Dry "
427,"Normal, Combination, Oily"
428,"Normal, Dry, Combination, Oily "
429,"Normal, Dry, Combination, Oily "
430,"Normal, Dry "
431,"Normal, Dry, Combination, Oily "
432,"Normal, Dry, Combination, Oily "
433,"Normal, Combination, Oily"
434,"Normal, Dry, Combination, Oily "
435,"Normal, Dry, Combination, Oily "
436,"Normal, Dry "
437,"Normal, Dry, Combination, Oily "
438,"Normal, Dry, Combination, Oily "
439,"Normal, Dry, Sensitive"
440,"Normal, Dry "
441,"Normal, Dry, Combination, Oily "
442,"Normal, Dry, Combination, Oily "
443,"Normal, Dry, Sensitive "
444,"Normal, Dry, Combination, Oily "
445,"Normal, Dry, Combination  "
446,"Normal, Dry, Combination, Oily "
447,"Normal, Combination, Oily "
448,"Normal, Dry, Combination, Oily "
449,"Normal, Dry, Combination, Oily "
450,"Normal, Combination, Oily "
451,"Normal, Dry, Combination, Oily "
452,"Normal, Dry, Combination, Oily "
453,"Normal, Dry, Combination, Oily "
454,"Normal, Dry, Combination, Oily "
455, Mature  
456,"Normal, Dry, Combination, Oily "
457,"Normal, Combination, Oily "
458,"Normal, Dry, Combination, Oily "
459,"Normal, Dry, Combination, Oily "
460,"Normal, Combination, Oily "
461,"Normal, Dry, Combination, Oily "
462,"Normal, Dry, Combination, Oily "
463,"Normal, Dry, Combination, Oily "
464,"Normal, Dry"
465,"Normal, Dry, Combination, Oily"
466,"Normal, Dry, Combination, Oily "
467,"Normal, Dry, Combination, Oily "
468,"Normal, Combination, Oily "
469,"Normal, Combination, Oily "
470,"Normal, Dry, Combination, Oily "
471,"Normal, Dry, Combination, Oily "
472,"Normal, Dry, Combination, Oily "
473,"Normal, Dry, Combination, Oily "
474,"Normal, Dry, Combination, Oily "
475,"Normal, Dry, Combination, Oily "
476,Dry
477,Dry
478,"Normal, Dry"
479,"Normal, Dry"
480,"Normal, Dry"
481,Dry
482,"Normal, Dry, Combination, Oily "
483,"Combination, Oily"
484,"Normal, Dry"
485,"Normal, Dry"
486,"Normal, Dry, Combination, Oily "
487,"Normal, Dry, Combination, Oily "
488,"Normal, Dry, Combination, Oily "
489,"Normal, Dry, Combination, Oily "
490,"Combination, Oily"
491,"Normal, Dry, Combination, Oily "
492,"Normal, Dry, Combination, Oily "
493,"Normal, Dry, Combination, Oily "
494,"Normal, Dry, Combination, Oily "
495,"Normal, Dry, Combination, Oily "
496,"Normal, Combination"
497,"Normal, Dry "
498,"Normal, Combination, Oily "
499,"Normal, Dry "
500,"Normal, Combination, Oily "
501,"Normal, Dry "
502,"Normal, Dry, Combination, Oily "
503,"Normal, Dry "
504,"Normal, Combination, Oily "
505,"Normal, Combination, Oily "
506,"Normal, Dry, Combination, Oily "
507,"Normal, Dry "
508,"Normal, Dry, Combination, Oily "
509,"Normal, Dry, Combination, Oily "
510,"Normal, Dry, Combination, Oily "
511,"Normal, Dry, Combination, Oily "
512,"Normal, Dry, Combination, Oily "
513,"Normal, Dry, Combination, Oily "
514,"Normal, Dry, Combination, Oily "
515,"Normal, Dry, Combination, Oily "
516,"Normal, Dry, Combination, Oily "
517,"Normal, Dry, Combination, Oily "
518,"Normal, Dry, Combination, Oily "
