,col
347,Combination and Oily
348,"Normal, Dry, Combination, and Oily "
349,"Normal, Combination, and Oily"
350,"Normal, Dry, Combination, and Oily "
351,Combination and Oily
352,"Normal, Dry, Combination, and Oily "
353,Combination and Oily
354,"Normal, Dry, Combination, and Oily "
355,"Normal, Dry, Combination, and Oily "
356,"Normal, Combination, and Oily"
357,"Normal, Combination, and Oily"
358,"Normal, Combination, and Oily"
359,"Normal, Dry, Combination, and Oily "
360,"Normal, Dry, Combination, and Oily "
361,"Normal, Dry, Combination, and Oily "
362,"Normal, Dry, Combination, and Oily "
363,Combination and Oily
364,Dry and Combination 
365,"Normal, Dry, Combination, and Oily "
366,"Normal, Dry, Combination, and Oily "
367,"Normal, Dry, Combination, and Oily "
368,"Normal, Dry, Combination, and Oily "
369,"Normal, Combination, and Oily"
370,"Normal, Dry, Combination, and Oily "
371,Normal and Dry
372,"Normal, Dry, Combination, and Oily "
373,"Normal, Dry, Combination, and Oily "
374,"Normal, Dry, Combination, and Oily "
375,"Normal, Dry, Combination, and Oily "
376,"Normal, Dry, Combination, and Oily "
377,Combination and Oily
378,"Normal, Combination, and Oily"
379,"Normal, Combination, and Oily"
380,"Normal, Combination, and Oily"
381,"Normal, Combination, and Oily"
382,"Normal, Dry, Combination, and Oily"
383,"Normal, Dry, Combination, and Oily"
384,"Normal, Combination, and Oily"
385,"Normal, Dry, Combination, and Oily "
386,"Normal, Dry, Combination, and Oily "
387,"Normal, Dry, Combination, and Oily "
388,Combination and Oily
389,"Normal, Dry, Combination, and Oily "
390,"Normal, Dry, Combination, and Oily "
391,"Normal, Dry, Combination, and Oily "
392,"Normal, Dry, Combination, and Oily "
393,"Normal, Dry, Combination, and Oily "
394,"Normal, Dry, Combination, and Oily "
395,Normal and Dry
396,"Normal, Dry, Combination, and Oily "
397,Combination and Oily
398,"Normal, Dry, Combination, and Oily "
399,Normal and Dry
400,Combination and Oily
401,"Normal, Dry, Combination, and Oily "
402,Normal and Dry
403,"Normal, Dry, Combination, and Oily "
404,"Normal, Dry, Combination, and Oily "
405,"Normal, Dry, Combination, and Oily "
406,"Normal, Dry, Combination, and Oily "
407,Combination and Oily
408,Combination and Oily
409,"Normal, Dry, Combination, and Oily "
410,Dry
411,"Normal, Dry, Combination, and Oily "
412,Dry and Combination
413,"Normal, Dry, Combination, and Oily "
414,Normal and Dry
415,"Normal, Dry, Combination, and Oily "
416,Normal and Dry 
417,"Normal, Dry, Combination, and Oily "
418,"Dry, Combination, and Oily "
419,"Normal, Dry, Combination, and Oily "
420,"Normal, Combination, and Oily "
421,"Normal, Combination, and Oily"
422,"Normal, Combination, and Oily"
423,"Normal, Dry, Combination, and Oily "
424,Normal and Dry 
425,"Normal, Dry, Combination, and Oily "
426,Normal and Dry 
427,"Normal, Combination, and Oily"
428,"Normal, Dry, Combination, and Oily "
429,"Normal, Dry, Combination, and Oily "
430,Normal and Dry 
431,"Normal, Dry, Combination, and Oily "
432,"Normal, Dry, Combination, and Oily "
433,"Normal, Combination, and Oily"
434,"Normal, Dry, Combination, and Oily "
435,"Normal, Dry, Combination, and Oily "
436,Normal and Dry 
437,"Normal, Dry, Combination, and Oily "
438,"Normal, Dry, Combination, and Oily "
439,"Normal, Dry, Sensitive"
440,Normal and Dry 
441,"Normal, Dry, Combination, and Oily "
442,"Normal, Dry, Combination, and Oily "
443,"Normal, Dry, Sensitive "
444,"Normal, Dry, Combination, and Oily "
445,"Normal, Dry, Combination  "
446,"Normal, Dry, Combination, and Oily "
447,"Normal, Combination, and Oily "
448,"Normal, Dry, Combination, and Oily "
449,"Normal, Dry, Combination, and Oily "
450,"Normal, Combination, and Oily "
451,"Normal, Dry, Combination, and Oily "
452,"Normal, Dry, Combination, and Oily "
453,"Normal, Dry, Combination, and Oily "
454,"Normal, Dry, Combination, and Oily "
455, Mature  
456,"Normal, Dry, Combination, and Oily "
457,"Normal, Combination, and Oily "
458,"Normal, Dry, Combination, and Oily "
459,"Normal, Dry, Combination, and Oily "
460,"Normal, Combination, and Oily "
461,"Normal, Dry, Combination, and Oily "
462,"Normal, Dry, Combination, and Oily "
463,"Normal, Dry, Combination, and Oily "
464,Normal and Dry
465,"Normal, Dry, Combination, and Oily"
466,"Normal, Dry, Combination, and Oily "
467,"Normal, Dry, Combination, and Oily "
468,"Normal, Combination, and Oily "
469,"Normal, Combination, and Oily "
470,"Normal, Dry, Combination, and Oily "
471,"Normal, Dry, Combination, and Oily "
472,"Normal, Dry, Combination, and Oily "
473,"Normal, Dry, Combination, and Oily "
474,"Normal, Dry, Combination, and Oily "
475,"Normal, Dry, Combination, and Oily "
476,Dry
477,Dry
478,Normal and Dry
479,Normal and Dry
480,Normal and Dry
481,Dry
482,"Normal, Dry, Combination, and Oily "
483,Combination and Oily
484,Normal and Dry
485,Normal and Dry
486,"Normal, Dry, Combination, and Oily "
487,"Normal, Dry, Combination, and Oily "
488,"Normal, Dry, Combination, and Oily "
489,"Normal, Dry, Combination, and Oily "
490,Combination and Oily
491,"Normal, Dry, Combination, and Oily "
492,"Normal, Dry, Combination, and Oily "
493,"Normal, Dry, Combination, and Oily "
494,"Normal, Dry, Combination, and Oily "
495,"Normal, Dry, Combination, and Oily "
496,"Normal, Combination"
497,Normal and Dry 
498,"Normal, Combination, and Oily "
499,Normal and Dry 
500,"Normal, Combination, and Oily "
501,Normal and Dry 
502,"Normal, Dry, Combination, and Oily "
503,Normal and Dry 
504,"Normal, Combination, and Oily "
505,"Normal, Combination, and Oily "
506,"Normal, Dry, Combination, and Oily "
507,Normal and Dry 
508,"Normal, Dry, Combination, and Oily "
509,"Normal, Dry, Combination, and Oily "
510,"Normal, Dry, Combination, and Oily "
511,"Normal, Dry, Combination, and Oily "
512,"Normal, Dry, Combination, and Oily "
513,"Normal, Dry, Combination, and Oily "
514,"Normal, Dry, Combination, and Oily "
515,"Normal, Dry, Combination, and Oily "
516,"Normal, Dry, Combination, and Oily "
517,"Normal, Dry, Combination, and Oily "
518,"Normal, Dry, Combination, and Oily "
519,"Normal, Combination, and Oily "
520,"Normal, Combination, and Oily "
521,"Normal, Dry, Combination, and Oily "
522,"Normal, Dry, Combination, and Oily "
523,"Normal, Dry, Combination, and Oily "
524,"Normal, Combination, and Oily "
525,"Normal, Combination, and Oily "
526,"Normal, Dry, Combination, and Oily "
527,"Normal, Dry, Combination, and Oily "
528,"Normal, Dry, Combination, and Oily "
529,"Normal, Dry, Combination, and Oily "
530,"Normal, Dry, Combination, and Oily "
531,"Normal, Combination, and Oily "
532,"Normal, Dry, Combination, and Oily "
533,"Normal, Dry, and Combination "
534,"Normal, Dry, Combination, and Oily "
535,"Normal, Dry, Combination, and Oily "
536,"Normal, Dry, Combination, and Oily "
537,Combination and Oily 
538,"Normal, Dry, Combination, and Oily "
539,"Normal, Dry, Combination, and Oily "
540,"Normal, Dry, Combination, and Oily "
541,Combination and Oily 
542,"Normal, Dry, Combination, and Oily "
543,Combination and Oily 
544,"Normal, Combination, and Oily "
545,"Normal, Dry, Combination, and Oily "
546,"Normal, Dry, Combination, and Oily "
547,"Normal, Dry, Combination, and Oily "
548,"Normal, Dry, Combination, and Oily "
549,Combination and Oily 
550,"Normal, Dry, Combination, and Oily "
551,"Normal, Dry, Combination, and Oily "
552,"Normal, Dry, Combination, and Oily "
553,"Normal, Dry, Combination, and Oily "
554,"Normal, Dry, Combination, and Oily "
555,"Normal, Dry, and Combination "
556,Combination and Oily 
557,"Normal, Dry, Combination, and Oily "
558,"Normal, Combination, and Oily "
559,"Normal, Dry, Combination, and Oily "
560,"Normal, Dry, Combination, and Oily "
561,"Normal, Dry, Combination, and Oily "
562,"Normal, Combination, and Oily "
563,"Normal, Dry, Combination, and Oily "
564,"Normal, Combination, and Oily "
565,"Normal, Dry, Combination, and Oily "
566,"Normal, Dry, Combination, and Oily "
567,"Normal, Dry, Combination, and Oily "
568,"Normal, Dry, Combination, and Oily "
569,"Normal, Dry, Combination, and Oily "
570,"Normal, Dry, Combination, and Oily "
571,"Normal, Combination, and Oily "
572,"Normal, Dry, Combination, and Oily "
573,"Normal, Dry, Combination, and Oily "
574,"Normal, Dry, Combination, and Oily "
575,"Normal, Dry, Combination, and Oily "
576,"Normal, Dry, Combination, and Oily "
577,"Normal, Combination, and Oily "
578,"Normal, Combination, and Oily "
579,"Normal, Dry, Combination, and Oily "
580,"Normal, Dry, Combination, and Oily "
581,"Normal, Dry, Combination, and Oily "
582,"Normal, Dry, Combination, and Oily "
583,"Normal, Dry, Combination, and Oily "
584,"Normal, Dry, Combination, and Oily "
585,Sensitive
586,Normal 
587,"Normal, Dry, Combination, and Oily "
588,"Normal, Dry, Combination, and Oily "
589,"Normal, Dry, Combination, and Oily "
590,"Normal, Dry, Combination, and Oily "
591,"Normal, Dry, Combination, and Oily "
592,"Normal, Dry, Combination, and Oily "
593,Normal and Dry
594,"Normal, Combination, and Oily "
595,"Normal, Dry, Combination, and Oily "
596,"Normal, Combination, and Oily "
597,"Normal, Dry, Combination, and Oily "
598,"Normal, Dry, Combination, and Oily "
599,"Normal, Dry, Combination, and Oily "
600,Normal and Dry
601,"Normal, Dry, Combination, and Oily "
602,"Normal, Dry, Combination, and Oily "
603,"Normal, Dry, Combination, and Oily "
604,Combination and Oily
605,Normal and Dry
606,"Normal, Dry, Combination, and Oily "
607,"Normal, Dry, Combination, and Oily "
608,"Normal, Dry, Combination, and Oily "
609,Normal and Dry
610,Normal and Dry
611,Normal and Dry
612,"Normal, Combination, and Oily "
613,"Normal, Dry, Combination, and Oily "
614,"Normal, Dry, Combination, and Oily "
615,"Normal, Dry, Combination, and Oily "
616,Normal and Dry
617,Normal and Dry
618,"Normal, Dry, Combination, and Oily "
619,"Normal, Dry, Combination"
620,"Normal, Dry, Combination, and Oily "
621,"Normal, Dry, Combination, and Oily "
622,"Normal, Dry, and Combination"
623,Normal and Dry
624,"Normal, Dry, Combination, and Oily"
625,"Normal, Dry, Combination, and Oily"
626,Normal and Dry
627,Normal and Dry
628,"Normal, Dry, Combination, and Oily "
629,"Normal, Dry, Combination, and Oily "
630,Combination and Oily 
631,"Normal, Dry, Combination, and Oily"
632,"Normal, Dry, Combination, and Oily"
633,Normal and Dry
634,Normal and Dry
635,Normal and Dry
636,"Normal, Dry, Combination, and Oily "
637,Combination and Oily
638,"Normal, Dry, Combination, and Oily "
639,Combination and Oily
640,"Normal, Dry, Combination, and Oily "
641,"Normal, Dry, Combination, and Oily "
642,"Normal, Dry, Combination, and Oily "
643,"Normal, Dry, Combination, and Oily "
644,"Normal, Dry, Combination, and Oily "
645,"Normal, Dry, Combination, and Oily "
646,"Normal, Dry, Combination, and Oily "
647,"Normal, Dry, Combination, and Oily "
648,"Normal, Dry, Combination, and Oily "
649,"Normal, Dry, Combination, and Oily "
650,"Normal, Dry, Combination, and Oily "
651,Combination and Oily
652,"Normal, Dry, Combination, and Oily"
653,Normal and Dry
654,"Normal, Dry, Combination, and Oily "
655,Combination and Oily
656,"Normal, Dry, Combination, and Oily "
657,Combination and Oily
658,"Normal, Dry, Combination, and Oily "
659,"Normal, Dry, Combination, and Oily "
660,"Normal, Dry, Combination, and Oily "
661,Combination and Oily 
662,"Normal, Dry, Combination, and Oily "
663,"Normal, Dry, Combination, and Oily "
664,"Normal, Dry, Combination, and Oily "
665,"Normal, Dry, Combination, and Oily "
666,Normal and Dry
667,Normal and Dry
668,Combination and Oily 
669,"Normal, Combination, and Oily"
670,"Normal, Combination, and Oily"
671,Dry
672,"Normal, Dry, Combination, and Oily "
673,"Normal, Combination, and Oily"
674,"Normal, Dry, Combination, and Oily "
675,"Normal, Dry, Combination, and Oily "
676,"Normal, Dry, Combination, and Oily "
677,"Normal, Dry, Combination, and Oily "
678,"Normal, Combination, and Oily "
679,"Normal, Dry, Combination, and Oily "
680,Normal and Dry
681,"Normal, Dry, Combination, and Oily "
682,"Normal, Dry, Combination, and Oily "
683,"Normal, Combination, and Oily "
684,"Normal, Dry, Combination, and Oily "
685,"Normal, Dry, Combination, and Oily "
686,"Normal, Combination, and Oily "
687,Normal and Dry
688,Normal and Dry
689,Normal and Dry
690,Dry
691,Dry
692,"Normal, Dry, Combination, and Oily "
693,Normal and Dry
694,Normal and Dry
695,Normal and Dry
696,"Normal, Dry, Combination, and Oily "
697,"Normal, Combination, and Oily "
698,"Normal, Dry, Combination, and Oily "
699,Sensitive
700,"Normal, Dry, Combination, and Oily "
701,"Normal, Dry, Combination, and Oily "
702,"Normal, Dry, Combination, and Oily "
703,"Normal, Dry, Combination, and Oily "
704,Dry 
705,"Normal, Dry, Combination, and Oily "
706,"Normal, Dry, Combination, and Oily "
707," Normal, Dry, Combination, and Oily"
708,"Normal, Dry, Combination, and Oily"
709,"Normal, Dry, Combination, and Oily "
710,Sensitive
711,"Sensitive, Dry"
712,"Normal, Dry, Combination, and Oily "
713,"Normal, Dry, Combination, and Oily "
714,Oily 
715,Oily 
716,"Normal, Dry, Combination, and Oily "
717,Dry
718,Dry
719,Dry
720,"Normal, Dry, Combination, and Oily"
721,"Normal, Dry, Combination, and Oily "
722,"Normal, Dry, Combination, and Oily "
723,Normal and Oily
724,Normal and Oily
725,"Normal, Dry, Combination, and Oily "
726,"Normal, Dry, Combination, and Oily "
727,"Normal, Dry, Combination, and Oily
"
728,Normal and Dry
729,"Normal, Dry, Combination, and Oily "
730,"Normal, Dry, Combination, and Oily "
731,Normal and Combination
732,"Normal, Dry, Combination, and Oily "
733,"Normal, Dry, Combination, and Oily "
734,"Normal, Dry, Combination, and Oily "
735,"Normal, Dry, Combination, and Oily "
736,"Normal, Dry, Combination, and Oily "
737,Normal and Combination
738,Sensitive
739,"Normal, Dry, Combination, and Oily"
740,"Normal, Combination, and Oily"
741,"Normal, Dry, Combination, and Oily"
742,"Normal, Dry, Combination, and Oily"
743,"Normal, Dry, Combination, and Oily"
744,"Normal, Combination, and Oily"
745,"Normal, Dry, Combination, and Oily"
746,"Normal, Dry, Combination, and Oily"
747,"Normal, Dry, and Combination "
748,"Normal, Dry, Combination, and Oily"
749,"Normal, Dry, Combination, and Oily"
750,"Normal, Dry, Combination, and Oily"
751,"Normal, Dry, Combination, and Oily "
752,"Normal, Dry, Combination, and Oily"
753,Dry
754,Dry
755,"Normal, Dry, Combination, and Oily"
756,"Normal, Dry, Combination, and Oily"
757,Normal and Dry
758,Normal and Dry
759,"Normal, Dry, Combination, and Oily"
760,Normal and Dry
761,"Normal, Dry, Combination, and Oily"
762,Normal and Dry
763,"Normal, Dry, Combination, and Oily"
764,"Normal, Dry, Combination, and Oily "
765,"Normal, Dry, Combination, and Oily "
766,Dry
767,Normal and Dry
768,Normal and Dry
769,"Normal, Dry, Combination, and Oily "
770,"Normal, Dry, Combination, and Oily "
771,"Normal, Dry, Combination, and Oily "
772,"Normal, Dry, Combination, and Oily "
773,"Normal, Dry, Combination, and Oily "
